"disease","deaths_formatted","dalys_formatted"
"COVID-19","0.13 (0.08, 0.19)","4.07 (2.83, 6.10)"
"Cholera","0.21 (0.06, 0.62)","6.40 (1.59, 13.40)"
"HPV","11.23 (9.81, 12.66)","522.22 (384.64, 673.60)"
"HepB","4.97 (3.60, 7.15)","141.29 (99.94, 210.27)"
"Hib","2.22 (1.66, 2.99)","150.39 (112.66, 203.98)"
"JE","0.18 (0.09, 0.31)","82.59 (16.24, 166.77)"
"Malaria","2.79 (2.17, 3.42)","204.18 (163.60, 252.20)"
"Measles","6.07 (4.93, 7.27)","409.73 (338.44, 487.24)"
"Meningitis","0.66 (0.57, 0.75)","42.92 (36.87, 48.91)"
"PCV","1.53 (0.67, 2.51)","105.03 (47.92, 169.97)"
"Rota","0.80 (0.23, 1.40)","46.16 (13.24, 86.80)"
"Rubella","0.21 (0.14, 0.32)","16.54 (9.89, 25.58)"
"Typhoid","0.69 (0.37, 1.65)","27.13 (12.88, 77.20)"
"YF","1.83 (0.79, 3.51)","71.12 (30.01, 137.21)"
